id,account_id,counterparty_id,date,amount,currency,flow_direction,description,gl_code,data_source,record_type
tx_oecd_HKG_NTR_C_L02_HKG_2019_277,acc_hkg_NTR_C_L02_HKG,gov_hkg,2019-01-01,7290.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L02_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L03_HKG_2020_278,acc_hkg_NTR_C_L03_HKG,gov_hkg,2020-01-01,3496.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L03_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L01_HKG_2020_279,acc_hkg_NTR_C_L01_HKG,gov_hkg,2020-01-01,88713.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L01_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L02_HKG_2020_280,acc_hkg_NTR_C_L02_HKG,gov_hkg,2020-01-01,6101.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L02_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L02_HKG_2021_281,acc_hkg_NTR_C_L02_HKG,gov_hkg,2021-01-01,6667.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L02_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L01_HKG_2021_282,acc_hkg_NTR_C_L01_HKG,gov_hkg,2021-01-01,143044.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L01_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L03_HKG_2021_283,acc_hkg_NTR_C_L03_HKG,gov_hkg,2021-01-01,3200.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L03_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L01_HKG_2022_284,acc_hkg_NTR_C_L01_HKG,gov_hkg,2022-01-01,69928.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L01_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L03_HKG_2022_285,acc_hkg_NTR_C_L03_HKG,gov_hkg,2022-01-01,3202.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L03_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L02_HKG_2022_286,acc_hkg_NTR_C_L02_HKG,gov_hkg,2022-01-01,7483.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L02_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L02_HKG_2023_287,acc_hkg_NTR_C_L02_HKG,gov_hkg,2023-01-01,8236.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L02_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L01_HKG_2023_288,acc_hkg_NTR_C_L01_HKG,gov_hkg,2023-01-01,19581.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L01_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_L03_HKG_2023_289,acc_hkg_NTR_C_L03_HKG,gov_hkg,2023-01-01,3372.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C_L03_HKG,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTAL_2014_290,acc_hkg_TOTAL,gov_hkg,2014-01-01,478560.0,HKD,inbound,Tax revenue: Tax and non-tax revenue,TOTAL,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTAL_2015_291,acc_hkg_TOTAL,gov_hkg,2015-01-01,449798.0,HKD,inbound,Tax revenue: Tax and non-tax revenue,TOTAL,OECD_CTP,tax_revenue
